model,n_samples,accuracy,precision,recall,f1_score,auc,true_neg,false_pos,false_neg,true_pos,specificity,length
APNet_6aa,1,,,,,,0,0,0,0,,3
APNet_6aa,4,0.5,1.0,0.3333333333333333,0.5,1.0,1,0,2,1,1.0,4
APNet_6aa,16,0.6875,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.875,3,1,4,8,0.75,5
APNet_6aa,1422,0.9071729957805907,0.9150326797385621,0.8187134502923976,0.8641975308641975,0.9716094416459189,870,39,93,420,0.9570957095709571,6
APNet_6aa,50,0.58,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.8837209302325582,6,1,20,23,0.8571428571428571,7
APNet_6aa,34,0.7352941176470589,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.8076923076923077,6,2,7,19,0.75,8
APNet_6aa,24,0.6666666666666666,1.0,0.42857142857142855,0.6,0.8,10,0,8,6,1.0,9
APNet_6aa,133,0.7518796992481203,0.5263157894736842,0.29411764705882354,0.37735849056603776,0.6639928698752229,90,9,24,10,0.9090909090909091,10
APNet_6aa,21,0.2857142857142857,1.0,0.21052631578947367,0.34782608695652173,0.8421052631578947,2,0,15,4,1.0,11
APNet_6aa,21,0.47619047619047616,0.8571428571428571,0.375,0.5217391304347826,0.7875,4,1,10,6,0.8,12
APNet_6aa,18,0.5,1.0,0.25,0.4,0.8194444444444444,6,0,9,3,1.0,13
APNet_6aa,20,0.45,1.0,0.35294117647058826,0.5217391304347826,0.803921568627451,3,0,11,6,1.0,14
APNet_6aa,24,0.5,1.0,0.07692307692307693,0.14285714285714285,0.9020979020979021,11,0,12,1,1.0,15
APNet_6aa,26,0.5384615384615384,1.0,0.3684210526315789,0.5384615384615384,0.7819548872180452,7,0,12,7,1.0,16
APNet_6aa,13,0.8461538461538461,1.0,0.7142857142857143,0.8333333333333334,0.8809523809523809,6,0,2,5,1.0,17
APNet_6aa,26,0.4230769230769231,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5277777777777778,5,3,12,6,0.625,18
APNet_6aa,11,0.36363636363636365,0.5,0.2857142857142857,0.36363636363636365,0.3571428571428571,2,2,5,2,0.5,19
APNet_6aa,18,0.5555555555555556,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.7500000000000001,5,1,7,5,0.8333333333333334,20
APNet_6aa,14,0.5,1.0,0.4166666666666667,0.5882352941176471,0.875,2,0,7,5,1.0,21
APNet_6aa,16,0.3125,1.0,0.08333333333333333,0.15384615384615385,0.9166666666666666,4,0,11,1,1.0,22
APNet_6aa,5,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,2,0,2,1,1.0,23
APNet_6aa,6,0.8333333333333334,1.0,0.75,0.8571428571428571,0.875,2,0,1,3,1.0,24
APNet_6aa,7,0.42857142857142855,1.0,0.3333333333333333,0.5,1.0,1,0,4,2,1.0,25
APNet_6aa,6,1.0,1.0,1.0,1.0,1.0,2,0,0,4,1.0,26
APNet_6aa,1,,,,,,0,0,0,0,,27
APNet_6aa,11,0.45454545454545453,1.0,0.4,0.5714285714285714,0.4,1,0,6,4,1.0,28
APNet_6aa,7,,,,,,0,0,0,0,,29
APNet_6aa,2,0.5,0.0,0.0,0.0,0.0,1,0,1,0,1.0,30
APNet_6aa,4,,,,,,0,0,0,0,,31
APNet_6aa,2,,,,,,0,0,0,0,,32
APNet_6aa,3,,,,,,0,0,0,0,,33
APNet_6aa,3,,,,,,0,0,0,0,,34
APNet_6aa,4,0.5,1.0,0.3333333333333333,0.5,0.3333333333333333,1,0,2,1,1.0,35
APNet_6aa,3,0.3333333333333333,0.0,0.0,0.0,0.0,1,1,1,0,0.5,36
APNet_6aa,1,,,,,,0,0,0,0,,37
APNet_6aa,1,,,,,,0,0,0,0,,39
APNet_6aa,29,,,,,,0,0,0,0,,40
APNet_6aa,10,,,,,,0,0,0,0,,42
APNet_6aa,1,,,,,,0,0,0,0,,43
APNet_6aa,2,,,,,,0,0,0,0,,44
APNet_6aa,1,,,,,,0,0,0,0,,48
APNet_6aa,2,,,,,,0,0,0,0,,51
APNet_6aa,1,,,,,,0,0,0,0,,53
APNet_6aa,1,,,,,,0,0,0,0,,55
APNet_6aa,1,,,,,,0,0,0,0,,56
APNet_6aa,1,,,,,,0,0,0,0,,65
APNet_6aa,1,,,,,,0,0,0,0,,71
APNet_6aa,1,,,,,,0,0,0,0,,79
APNet_6aa,1,,,,,,0,0,0,0,,83
APNet_20aa,1,,,,,,0,0,0,0,,3
APNet_20aa,4,0.25,0.0,0.0,0.0,0.3333333333333333,1,0,3,0,1.0,4
APNet_20aa,16,0.25,0.0,0.0,0.0,0.4375,4,0,12,0,1.0,5
APNet_20aa,1422,0.6336146272855133,0.34615384615384615,0.017543859649122806,0.03339517625231911,0.6166084444701779,892,17,504,9,0.9812981298129813,6
APNet_20aa,50,0.14,0.0,0.0,0.0,0.584717607973422,7,0,43,0,1.0,7
APNet_20aa,34,0.2647058823529412,1.0,0.038461538461538464,0.07407407407407407,0.47596153846153844,8,0,25,1,1.0,8
APNet_20aa,24,0.4166666666666667,0.0,0.0,0.0,0.41428571428571426,10,0,14,0,1.0,9
APNet_20aa,133,0.7443609022556391,0.0,0.0,0.0,0.4447415329768271,99,0,34,0,1.0,10
APNet_20aa,21,0.14285714285714285,1.0,0.05263157894736842,0.1,0.736842105263158,2,0,18,1,1.0,11
APNet_20aa,21,0.23809523809523808,0.0,0.0,0.0,0.7625,5,0,16,0,1.0,12
APNet_20aa,18,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,6,0,12,0,1.0,13
APNet_20aa,20,0.25,1.0,0.11764705882352941,0.21052631578947367,0.6274509803921569,3,0,15,2,1.0,14
APNet_20aa,24,0.5833333333333334,1.0,0.23076923076923078,0.375,0.7202797202797202,11,0,10,3,1.0,15
APNet_20aa,26,0.38461538461538464,1.0,0.15789473684210525,0.2727272727272727,0.49624060150375937,7,0,16,3,1.0,16
APNet_20aa,13,0.5384615384615384,1.0,0.14285714285714285,0.25,0.5238095238095237,6,0,6,1,1.0,17
APNet_20aa,26,0.34615384615384615,1.0,0.05555555555555555,0.10526315789473684,0.6180555555555556,8,0,17,1,1.0,18
APNet_20aa,11,0.36363636363636365,0.0,0.0,0.0,0.5714285714285714,4,0,7,0,1.0,19
APNet_20aa,18,0.3888888888888889,1.0,0.08333333333333333,0.15384615384615385,0.6111111111111112,6,0,11,1,1.0,20
APNet_20aa,14,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857,0.5416666666666666,2,0,10,2,1.0,21
APNet_20aa,16,0.25,0.0,0.0,0.0,0.6458333333333334,4,0,12,0,1.0,22
APNet_20aa,5,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,2,0,2,1,1.0,23
APNet_20aa,6,0.3333333333333333,0.0,0.0,0.0,0.75,2,0,4,0,1.0,24
APNet_20aa,7,0.14285714285714285,0.0,0.0,0.0,1.0,1,0,6,0,1.0,25
APNet_20aa,6,0.3333333333333333,0.0,0.0,0.0,0.5,2,0,4,0,1.0,26
APNet_20aa,1,,,,,,0,0,0,0,,27
APNet_20aa,11,0.09090909090909091,0.0,0.0,0.0,0.8,1,0,10,0,1.0,28
APNet_20aa,7,,,,,,0,0,0,0,,29
APNet_20aa,2,0.5,0.0,0.0,0.0,0.0,1,0,1,0,1.0,30
APNet_20aa,4,,,,,,0,0,0,0,,31
APNet_20aa,2,,,,,,0,0,0,0,,32
APNet_20aa,3,,,,,,0,0,0,0,,33
APNet_20aa,3,,,,,,0,0,0,0,,34
APNet_20aa,4,0.25,0.0,0.0,0.0,1.0,1,0,3,0,1.0,35
APNet_20aa,3,0.6666666666666666,0.0,0.0,0.0,0.0,2,0,1,0,1.0,36
APNet_20aa,1,,,,,,0,0,0,0,,37
APNet_20aa,1,,,,,,0,0,0,0,,39
APNet_20aa,29,,,,,,0,0,0,0,,40
APNet_20aa,10,,,,,,0,0,0,0,,42
APNet_20aa,1,,,,,,0,0,0,0,,43
APNet_20aa,2,,,,,,0,0,0,0,,44
APNet_20aa,1,,,,,,0,0,0,0,,48
APNet_20aa,2,,,,,,0,0,0,0,,51
APNet_20aa,1,,,,,,0,0,0,0,,53
APNet_20aa,1,,,,,,0,0,0,0,,55
APNet_20aa,1,,,,,,0,0,0,0,,56
APNet_20aa,1,,,,,,0,0,0,0,,65
APNet_20aa,1,,,,,,0,0,0,0,,71
APNet_20aa,1,,,,,,0,0,0,0,,79
APNet_20aa,1,,,,,,0,0,0,0,,83
